"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Marquise Goodwin","SF","36.7","578.0","4.0","3.1","18.4","0.0","0.1","120.2"
"Parris Campbell","IND","42.9","535.9","3.6","3.0","17.9","0.1","0.4","119.5"
"Deebo Samuel","SF","43.1","557.5","3.1","1.4","8.7","0.0","0.4","117.6"
"Zay Jones","BUF","40.7","517.3","4.0","0.6","4.2","0.0","0.4","116.2"
"Quincy Enunwa","NYJ","44.5","557.4","2.7","0.7","0.1","0.0","0.4","115.9"
"Paul Richardson","WAS","39.1","572.0","3.0","1.7","11.8","0.0","0.1","115.5"
"Willie Snead","BAL","47.7","533.3","2.5","0.7","4.6","0.0","0.5","115.4"
"Marquise Brown","BAL","37.6","548.4","3.3","5.6","37.2","0.0","0.8","114.9"
"Cole Beasley","BUF","46.6","526.3","2.6","0.0","0.0","0.0","0.4","114.2"
"Josh Doctson","WAS","41.3","536.9","3.0","0.1","-0.6","0.0","0.1","112.8"
"Randall Cobb","DAL","45.5","490.5","2.6","2.5","10.1","0.0","0.4","110.6"
"N'Keal Harry","NE","37.3","504.2","3.4","1.1","6.2","0.0","0.4","108.4"
"Robert Foster","BUF","32.7","536.6","3.5","0.0","0.0","0.0","0.1","107.3"
"Trey Quinn","WAS","41.9","467.0","2.6","1.3","7.3","0.0","0.1","104.9"
"A.J. Brown","TEN","38.3","496.4","2.7","0.7","4.0","0.0","0.4","103.7"
"Rashard Higgins","CLE","36.7","492.1","3.1","0.1","0.7","0.0","0.4","103.6"
"Tre'Quan Smith","NO","33.3","477.2","3.4","0.4","1.7","0.0","0.1","101.6"
"David Moore","SEA","31.8","461.4","3.7","0.4","1.9","0.0","0.1","100.5"
"Nelson Agholor","PHI","36.4","444.4","3.0","3.1","23.3","0.1","0.4","100.5"
"Breshad Perriman","TB","29.2","474.4","2.5","2.3","6.4","0.0","0.1","92.0"
"Andy Isabella","ARI","31.6","399.9","2.5","1.3","8.1","0.0","0.1","87.4"
"John Ross","CIN","28.9","333.6","3.7","2.9","11.4","0.0","0.1","85.4"
"Chris Conley","JAC","31.6","402.3","2.3","0.0","0.0","0.0","0.2","84.9"
"D.J. Chark","JAC","33.5","419.5","1.7","0.0","0.0","0.0","1.4","83.0"
"Miles Boykin","BAL","26.9","389.6","2.5","1.0","4.3","0.0","0.4","80.3"
"Hunter Renfrow","OAK","32.7","358.7","1.8","0.0","0.0","0.0","0.1","79.4"
"Mecole Hardman","KC","23.9","348.0","2.5","4.8","30.4","0.3","0.4","77.7"
"Travis Benjamin","LAC","23.8","365.8","2.0","6.6","41.9","0.3","0.4","77.6"
"Demarcus Robinson","KC","26.3","359.2","2.6","0.0","0.0","0.0","0.0","77.5"
"Antonio Callaway","CLE","24.5","332.0","2.5","1.0","3.9","0.0","0.4","72.1"
"Cody Latimer","NYG","23.3","363.9","2.2","0.0","0.0","0.0","0.4","71.9"
"Terry McLaurin","WAS","26.8","334.5","1.8","0.0","0.0","0.0","0.1","70.9"
"Chris Hogan","CAR","23.7","330.2","2.0","0.4","2.2","0.0","0.0","68.9"
"Laquon Treadwell","MIN","28.2","290.4","1.8","0.0","0.0","0.0","0.0","67.8"
"Keelan Cole","JAC","23.1","302.6","1.6","0.0","0.0","0.0","0.1","62.8"
"Josh Reynolds","LAR","19.6","264.5","2.2","2.2","14.0","0.0","0.0","60.6"
"KeeSean Johnson","ARI","20.9","270.6","1.5","0.0","0.0","0.0","0.1","56.9"
"Jarius Wright","CAR","22.3","258.9","1.3","1.5","10.6","0.0","0.2","56.7"
"Equanimeous St. Brown","GB","20.5","268.8","1.5","0.1","0.9","0.0","0.0","56.6"
"Chester Rogers","IND","20.9","248.7","1.6","0.8","5.0","0.0","0.0","55.9"
"Chad Beebe","MIN","22.1","237.4","1.7","0.0","0.0","0.0","0.1","55.7"
"Tim Patrick","DEN","20.1","280.8","1.1","2.0","7.0","0.0","0.1","55.4"
"J.J. Arcega-Whiteside","PHI","19.7","257.6","1.6","0.0","0.0","0.0","0.1","55.0"
"Hakeem Butler","ARI","19.1","255.8","1.7","0.0","0.0","0.0","0.1","54.9"
"Phillip Dorsett","NE","19.3","236.8","1.7","1.7","11.0","0.0","0.0","54.5"
"Keith Kirkwood","NO","18.2","247.0","1.6","0.0","0.0","0.0","0.0","52.7"
"Ryan Switzer","PIT","21.6","222.5","1.1","2.5","14.3","0.2","0.1","52.4"
"Jakeem Grant","MIA","19.3","256.4","1.2","0.3","0.8","0.0","0.1","52.3"
"Jaron Brown","SEA","15.7","212.3","2.2","0.2","2.4","0.0","0.0","50.7"
"Demaryius Thomas","NE","18.3","226.2","1.6","0.0","0.0","0.0","0.0","50.2"
"Taywan Taylor","TEN","18.1","226.4","1.1","0.8","4.9","0.0","0.3","47.2"
"Seth Roberts","BAL","16.7","214.9","1.2","0.1","1.0","0.0","0.0","45.5"
"Marcell Ateman","OAK","16.5","218.5","1.1","0.0","0.0","0.0","0.1","44.8"
"Eli Rogers","PIT","18.4","201.1","0.9","1.3","6.3","0.0","0.0","44.5"
"Cordarrelle Patterson","CHI","12.9","150.2","0.9","12.6","76.0","0.6","0.1","44.4"
"Bennie Fowler","NYG","14.0","210.5","1.3","0.0","0.0","0.0","0.0","42.5"
"Jalen Hurd","SF","13.7","169.7","1.0","6.5","39.7","0.3","0.1","42.0"
"Chris Moore","BAL","15.2","202.7","0.8","2.0","11.0","0.0","0.1","41.8"
"Justin Watson","TB","15.5","199.6","1.0","0.0","0.0","0.0","0.1","41.4"
"Kendrick Bourne","SF","15.0","201.9","1.0","0.1","0.2","0.0","0.0","41.2"
"Justin Hardy","ATL","15.6","182.9","1.2","0.0","0.0","0.0","0.0","40.9"
"Ryan Grant","OAK","16.4","194.8","0.8","0.0","0.0","0.0","0.0","40.6"
"Darius Slayton","NYG","13.6","196.0","1.0","0.0","0.0","0.0","0.1","39.1"
"Trent Taylor","SF","15.7","178.6","0.9","0.0","0.0","0.0","0.1","38.7"
"Jordan Taylor","MIN","15.4","178.7","0.8","0.0","0.0","0.0","0.1","38.1"
"Diontae Johnson","PIT","14.4","194.6","0.7","0.0","0.0","0.0","0.1","37.8"
"Gary Jennings","SEA","13.6","172.9","1.1","0.0","0.0","0.0","0.1","37.5"
"Tavon Austin","DAL","11.4","139.2","0.6","11.2","66.0","0.1","0.1","36.2"
"Preston Williams","MIA","13.4","173.3","0.6","0.0","0.0","0.0","0.1","34.3"
"J.J. Nelson","OAK","12.3","162.2","0.7","1.3","7.6","0.0","0.1","33.8"
"Amara Darboh","SEA","12.2","140.8","0.9","0.0","0.0","0.0","0.0","32.0"
"Tajae Sharpe","TEN","11.3","146.9","0.7","0.1","0.3","0.0","0.0","30.2"
"TJ Jones","NYG","11.6","141.1","0.7","0.0","0.0","0.0","0.0","30.1"
"Bobo Wilson","TB","11.3","135.2","0.6","0.3","2.5","0.0","0.0","28.9"
"Jake Kumerow","GB","10.2","131.3","0.9","0.0","0.0","0.0","0.0","28.6"
"Deon Cain","IND","10.7","128.6","0.8","0.0","0.0","0.0","0.1","28.5"
"Jaelen Strong","CLE","7.5","134.8","1.2","0.0","0.0","0.0","0.0","28.1"
"Isaiah McKenzie","BUF","9.3","118.1","0.7","3.5","25.2","0.1","0.1","28.0"
"Allen Hurns","MIA","9.8","134.5","0.8","0.0","0.0","0.0","0.1","28.0"
"Alex Erickson","CIN","10.6","127.4","0.6","0.9","5.0","0.0","0.0","27.6"
"Torrey Smith","CAR","9.5","148.4","0.5","0.1","1.0","0.0","0.0","27.2"
"Zach Pascal","IND","9.4","125.3","0.7","0.1","0.2","0.0","0.0","26.2"
"Jakobi Meyers","NE","9.5","122.3","0.7","0.0","0.0","0.0","0.0","26.2"
"Travis Fulgham","DET","9.6","124.0","0.7","0.0","0.0","0.0","0.1","26.0"
"Russell Shepard","NYG","8.3","121.3","0.7","0.0","0.1","0.0","0.0","24.7"
"Russell Gage","ATL","8.5","107.1","0.8","0.0","0.0","0.0","0.0","23.9"
"Andy Jones","DET","9.9","122.3","0.3","0.0","0.0","0.0","0.0","23.9"
"Cody Core","CIN","9.5","111.8","0.4","0.0","0.0","0.0","0.0","23.2"
"Kelvin Harmon","WAS","8.5","108.0","0.6","0.0","0.0","0.0","0.1","22.7"
"Marvin Hall","CHI","7.9","116.7","0.5","0.0","0.0","0.0","0.0","22.6"
"Riley Ridley","CHI","8.4","105.8","0.6","0.0","0.0","0.0","0.0","22.4"
"Brian Quick","WAS","8.5","103.0","0.6","0.0","0.0","0.0","0.0","22.2"
"Chris Lacy","DET","8.7","98.6","0.5","0.0","0.0","0.0","0.1","21.6"
"DeAndre Carter","HOU","8.1","93.7","0.6","0.1","0.2","0.0","0.0","21.1"
"Terry Godwin","CAR","7.6","102.2","0.5","0.0","0.0","0.0","0.0","21.0"
"Austin Carr","NO","6.9","89.9","0.8","0.0","0.0","0.0","0.0","20.8"
"Darvin Kidsy","WAS","5.9","89.1","0.9","0.0","0.0","0.0","0.0","20.4"
"Jehu Chesson","WAS","6.8","100.2","0.6","0.1","0.1","0.0","0.0","20.3"
"Artavis Scott","LAC","7.2","90.0","0.5","0.0","0.0","0.0","0.0","19.3"
"Jordan Matthews","SF","7.4","87.2","0.4","0.0","0.0","0.0","0.0","18.5"
"Deontay Burnett","NYJ","7.1","78.3","0.6","0.0","0.0","0.0","0.0","18.4"
"Geremy Davis","LAC","6.0","83.2","0.5","0.0","0.0","0.0","0.0","17.1"
"Josh Malone","CIN","7.0","86.8","0.2","0.3","-0.2","0.0","0.1","16.8"
"Byron Marshall","WAS","5.4","97.4","0.2","0.4","1.0","0.0","0.0","16.5"
"Mack Hollins","PHI","4.8","81.1","0.6","0.0","0.0","0.0","0.0","16.4"
"Josh Bellamy","NYJ","5.4","81.6","0.5","0.1","-0.1","0.0","0.0","16.3"
"Vyncint Smith","HOU","5.6","78.4","0.5","0.0","0.0","0.0","0.0","16.1"
"Braxton Miller","PHI","5.7","74.7","0.5","0.0","0.2","0.0","0.0","16.0"
"Tommylee Lewis","DET","6.0","67.1","0.5","0.3","2.0","0.0","0.0","16.0"
"K.J. Brent","TB","7.4","66.5","0.3","0.0","0.0","0.0","0.0","15.9"
"Maurice Harris","NE","5.1","73.1","0.5","0.3","1.5","0.0","0.0","15.7"
"Tanner Gentry","CHI","5.6","76.9","0.4","0.0","0.0","0.0","0.0","15.7"
"Brice Butler","MIA","5.9","70.1","0.3","0.0","0.0","0.0","0.0","14.8"
"Kalif Raymond","TEN","6.0","68.9","0.3","0.0","0.0","0.0","0.0","14.8"
"Derrick Willies","CLE","5.1","70.1","0.5","0.0","0.0","0.0","0.0","14.8"
"Aldrick Robinson","CAR","4.2","75.8","0.5","0.0","0.1","0.0","0.0","14.7"
"Keon Hatcher","OAK","6.1","71.9","0.2","0.0","0.0","0.0","0.0","14.3"
"Quadree Henderson","JAC","5.2","63.5","0.5","0.0","0.0","0.0","0.0","14.3"
"Noah Brown","DAL","5.2","69.1","0.4","0.0","0.0","0.0","0.0","14.3"
"Cameron Meredith","NE","6.3","61.6","0.2","0.0","0.0","0.0","0.0","13.9"
"Trevor Davis","GB","4.8","64.6","0.4","0.0","0.4","0.0","0.0","13.6"
"Brandon Zylstra","MIN","4.7","64.1","0.4","0.0","0.0","0.0","0.0","13.5"
"Richie James","SF","5.3","67.9","0.2","0.0","0.0","0.0","0.0","13.1"
"Darius Jennings","TEN","5.5","56.3","0.3","0.5","1.1","0.0","0.0","12.7"
"Damion Ratley","CLE","3.8","53.5","0.5","0.0","0.0","0.0","0.0","11.9"
"Rashad Ross","CAR","3.2","40.9","0.8","0.0","0.0","0.0","0.0","11.8"
"Marcus Kemp","KC","4.5","59.9","0.2","0.0","0.6","0.0","0.0","11.8"
"Kevin White","ARI","4.2","57.1","0.3","0.0","0.0","0.0","0.0","11.7"
"Auden Tate","CIN","4.8","60.8","0.1","0.0","0.0","0.0","0.0","11.7"
"Malik Turner","SEA","4.3","40.7","0.5","0.0","0.0","0.0","0.0","11.3"
"Dwayne Harris","OAK","4.7","54.1","0.0","1.3","7.7","0.0","0.0","11.3"
"Allen Lazard","GB","4.9","48.9","0.2","0.0","0.0","0.0","0.0","11.2"
"Victor Bolden Jr.","BUF","4.2","57.8","0.2","0.0","0.0","0.0","0.0","11.0"
"Vince Mayle","LAC","2.6","44.8","0.6","0.1","-0.1","0.0","0.0","10.8"
"Hunter Sharp","CIN","3.9","51.6","0.3","0.0","0.0","0.0","0.0","10.7"
"Brandon Powell","DET","5.0","46.2","0.2","0.1","0.2","0.0","0.0","10.6"
"Johnny Holton","PIT","4.2","50.9","0.2","0.0","0.0","0.0","0.0","10.5"
"River Cracraft","DEN","2.9","55.4","0.3","0.0","0.0","0.0","0.0","10.5"
"Cam Phillips","BUF","3.9","55.0","0.2","0.0","0.0","0.0","0.0","10.5"
"J'Mon Moore","GB","4.4","45.4","0.1","0.0","0.0","0.0","0.0","9.3"
"Ray-Ray McCloud","BUF","2.0","39.9","0.2","3.4","16.1","0.1","0.0","9.1"
"Mike Thomas","LAR","3.1","37.9","0.4","0.0","0.0","0.0","0.0","9.0"
"Devin Smith","DAL","3.1","36.8","0.4","0.0","0.0","0.0","0.0","8.9"
"Cedrick Wilson","DAL","3.1","36.8","0.4","0.0","0.0","0.0","0.0","8.9"
"Charles Johnson","PHI","3.2","36.9","0.3","0.0","0.0","0.0","0.0","8.9"
"Isaiah Ford","MIA","3.3","43.7","0.2","0.0","0.0","0.0","0.0","8.7"
"Dontrelle Inman","NE","2.6","39.7","0.3","0.0","0.0","0.0","0.0","8.4"
"Olabisi Johnson","MIN","3.2","39.1","0.2","0.0","0.0","0.0","0.0","8.3"
"Gehrig Dieter","KC","3.1","36.2","0.3","0.0","0.0","0.0","0.0","8.3"
"Greg Dortch","NYJ","3.0","38.6","0.2","0.0","0.0","0.0","0.0","8.2"
"Cam Sims","WAS","3.3","40.0","0.2","0.0","0.0","0.0","0.0","8.2"
"DeAndrew White","CAR","2.6","31.9","0.4","0.0","0.0","0.0","0.0","8.1"
"Tim White","NYJ","2.7","34.5","0.3","0.0","0.0","0.0","0.0","7.8"
"Terrelle Pryor","JAC","2.8","37.9","0.2","0.0","0.0","0.0","0.0","7.7"
"Brittan Golden","NYG","2.6","35.1","0.3","0.0","0.0","0.0","0.0","7.6"
"Chad Hansen","HOU","2.4","32.3","0.3","0.0","0.0","0.0","0.0","7.3"
"Javon Wims","CHI","2.5","35.7","0.2","0.0","0.0","0.0","0.0","7.3"
"JoJo Natson","LAR","1.8","43.0","0.2","0.1","0.0","0.0","0.0","7.1"
"Jaleel Scott","BAL","2.6","32.9","0.2","0.0","0.0","0.0","0.0","6.7"
"Deonte Thompson","NYJ","2.6","31.2","0.2","0.1","-0.1","0.0","0.0","6.7"
"J.J. Jones","NYJ","2.3","31.5","0.1","0.2","0.9","0.0","0.0","6.4"
"Nick Williams","DEN","2.2","29.7","0.1","0.0","0.0","0.0","0.0","5.9"
"Andre Roberts","BUF","2.6","27.0","0.1","0.0","0.6","0.0","0.0","5.8"
"Michael Floyd","BAL","2.2","26.5","0.1","0.0","0.0","0.0","0.0","5.7"
"Charone Peake","NYJ","1.9","30.6","0.1","0.0","0.0","0.0","0.0","5.7"
"Chad Williams","ARI","2.1","26.5","0.2","0.1","0.2","0.0","0.0","5.6"
"Isaac Whitney","HOU","2.1","25.5","0.2","0.0","0.0","0.0","0.0","5.6"
"Damiere Byrd","ARI","2.8","27.4","0.0","0.1","0.2","0.0","0.0","5.5"
"Trent Sherfield","ARI","1.9","23.5","0.2","0.0","0.0","0.0","0.0","5.2"
"Pharoh Cooper","ARI","2.7","24.2","0.0","0.1","0.1","0.0","0.0","5.1"
"Khadarel Hodge","LAR","2.1","23.6","0.1","0.0","0.0","0.0","0.0","5.1"
"Byron Pringle","KC","1.7","21.2","0.2","0.0","0.0","0.0","0.0","4.7"
"Marcus Green","ATL","1.7","21.6","0.1","0.0","0.0","0.0","0.0","4.7"
"Krishawn Hogan","IND","1.8","15.8","0.2","0.0","0.0","0.0","0.0","4.6"
"Marcus Johnson","IND","1.5","19.9","0.1","0.0","0.3","0.0","0.0","4.3"
"Juwann Winfree","DEN","1.7","20.2","0.1","0.0","0.0","0.0","0.0","4.2"
"Keenan Reynolds","SEA","1.4","17.2","0.1","0.0","0.0","0.0","0.0","3.8"
"Matt Slater","NE","0.7","8.4","0.0","0.0","0.0","0.0","0.0","1.8"
"Cam Batson","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jordan Lasley","OAK","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Daurice Fountain","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kelvin McKnight","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ashton Dulin","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tanner McEvoy","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Antoine Wesley","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brendan Langley","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Roger Lewis","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tre McBride","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Robert Davis","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dillon Mitchell","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Webb","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Da'Mari Scott","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"DeAngelo Yancey","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Emmanuel Butler","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Braxton Berrios","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Emanuel Hall","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jester Weah","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyre Brady","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Austin Proehl","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Taquan Mizzell","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Simmie Cobbs Jr.","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Penny Hart","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alonzo Russell","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Marken Michel","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Carlton Agudosi","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jaydon Mickens","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Lil'Jordan Humphrey","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malachi Dupre","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Ursua","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Chris Thompson","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
