"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Trevor Siemian","NYJ","25.4","15.3","178.9","0.8","0.9","2.0","6.8","0.1","0.0","9.6"
"Teddy Bridgewater","NO","21.1","13.0","155.6","1.0","0.5","2.7","5.2","0.0","0.0","9.6"
"Paxton Lynch","SEA","19.1","11.8","155.3","0.8","0.6","2.8","9.6","0.1","0.0","9.5"
"Matt Barkley","BUF","24.4","14.9","182.8","0.9","1.0","2.4","3.8","0.0","0.1","9.4"
"Matt Moore","KC","22.1","13.9","169.6","1.1","0.4","2.5","8.8","0.0","1.0","9.3"
"Tyrod Taylor","LAC","17.1","10.5","125.7","0.7","0.6","2.5","10.1","0.1","0.0","8.1"
"Joshua Dobbs","PIT","20.8","12.8","126.8","0.8","0.7","2.2","9.4","0.0","0.0","8.0"
"Cooper Rush","DAL","19.6","12.0","127.7","0.6","0.3","1.6","7.5","0.0","0.0","7.8"
"Brian Hoyer","NE","17.7","10.8","136.8","0.6","0.7","2.5","4.1","0.1","0.1","7.4"
"Drew Stanton","CLE","17.5","10.4","138.0","0.6","0.8","1.7","6.3","0.0","0.0","7.1"
"DeShone Kizer","GB","18.0","10.7","131.6","0.5","0.7","1.9","8.0","0.1","0.1","7.0"
"AJ McCarron","HOU","15.2","9.7","110.7","0.6","0.4","1.9","3.0","0.0","0.1","6.4"
"Mike Glennon","OAK","18.7","12.0","138.7","0.7","0.5","1.6","1.8","0.0","0.5","6.3"
"Matt Schaub","ATL","15.5","9.6","98.8","0.5","0.3","1.1","2.9","0.0","0.1","5.7"
"Tom Savage","DET","11.6","7.2","120.4","0.5","0.6","1.4","1.6","0.0","0.4","5.3"
"Sean Mannion","MIN","13.5","8.2","91.2","0.3","0.1","2.2","4.4","0.1","0.1","5.1"
"Kevin Hogan","DEN","11.5","7.0","76.5","0.5","0.5","2.0","9.5","0.0","0.0","5.0"
"Chad Henne","KC","5.9","3.7","42.1","0.4","0.1","0.2","0.5","0.0","0.1","2.8"
"Josh Johnson","DET","5.5","3.2","34.1","0.2","0.2","0.9","4.0","0.0","0.0","2.2"
"Ryan Griffin","TB","5.0","3.0","39.0","0.0","0.0","0.0","1.0","0.0","0.0","1.7"
"Kyle Lauletta","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Webb","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Garrett Gilbert","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex Tanney","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyler Bray","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cody Kessler","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nathan Peterman","OAK","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Allen","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jake Rudock","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Cardale Jones","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Geno Smith","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Davis Webb","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Alex McGough","JAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Kyle Sloter","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyree Jackson","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Luke Falk","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Danny Etling","ATL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Joe Callahan","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brett Rypien","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nick Fitzgerald","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Brandon Allen","LAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Easton Stick","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Clayton Thorson","PHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Logan Woodside","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mike White","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tim Boyle","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Trace McSorley","BAL","0.0","0.0","0.0","0.0","0.0","5.4","27.2","0.2","0.0","0.0"
